# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AFCEA10_000108	AFCEA10_000108	AFCEA10_000108-T2	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFCEA10_000121	AFCEA10_000121	AFCEA10_000121-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFCEA10_000124	AFCEA10_000124	AFCEA10_000124-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFCEA10_000125	AFCEA10_000125	AFCEA10_000125-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFCEA10_000127	AFCEA10_000127	AFCEA10_000127-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFCEA10_000175	AFCEA10_000175	AFCEA10_000175-T1	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AFCEA10_000176	AFCEA10_000176	AFCEA10_000176-T1	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
AFCEA10_000191	AFCEA10_000191	AFCEA10_000191-T1	protein_coding	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AFCEA10_000192	AFCEA10_000192	AFCEA10_000192-T1	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
AFCEA10_000224	AFCEA10_000224	AFCEA10_000224-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFCEA10_000225	AFCEA10_000225	AFCEA10_000225-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFCEA10_000226	AFCEA10_000226	AFCEA10_000226-T1	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
AFCEA10_000227	AFCEA10_000227	AFCEA10_000227-T1	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
AFCEA10_000228	AFCEA10_000228	AFCEA10_000228-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFCEA10_000257	AFCEA10_000257	AFCEA10_000257-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFCEA10_000258	AFCEA10_000258	AFCEA10_000258-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFCEA10_000293	AFCEA10_000293	AFCEA10_000293-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFCEA10_000294	AFCEA10_000294	AFCEA10_000294-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFCEA10_000295	AFCEA10_000295	AFCEA10_000295-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFCEA10_000301	AFCEA10_000301	AFCEA10_000301-T1	protein_coding	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
AFCEA10_000301	AFCEA10_000301	AFCEA10_000301-T2	protein_coding	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
AFCEA10_000302	AFCEA10_000302	AFCEA10_000302-T1	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
AFCEA10_000303	AFCEA10_000303	AFCEA10_000303-T1	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
AFCEA10_000304	AFCEA10_000304	AFCEA10_000304-T1	protein_coding	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
AFCEA10_000307	AFCEA10_000307	AFCEA10_000307-T1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AFCEA10_000308	AFCEA10_000308	AFCEA10_000308-T1	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AFCEA10_000316	AFCEA10_000316	AFCEA10_000316-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFCEA10_000351	AFCEA10_000351	AFCEA10_000351-T1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AFCEA10_000359	AFCEA10_000359	AFCEA10_000359-T1	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AFCEA10_000360	AFCEA10_000360	AFCEA10_000360-T1	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AFCEA10_000361	AFCEA10_000361	AFCEA10_000361-T1	protein_coding	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
AFCEA10_000362	AFCEA10_000362	AFCEA10_000362-T1	protein_coding	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
AFCEA10_000363	AFCEA10_000363	AFCEA10_000363-T1	protein_coding	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
AFCEA10_000364	AFCEA10_000364	AFCEA10_000364-T1	protein_coding	0	0	0	4	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2
AFCEA10_000365	AFCEA10_000365	AFCEA10_000365-T1	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
AFCEA10_000366	AFCEA10_000366	AFCEA10_000366-T1	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AFCEA10_000387	AFCEA10_000387	AFCEA10_000387-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFCEA10_000388	AFCEA10_000388	AFCEA10_000388-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AFCEA10_000389	AFCEA10_000389	AFCEA10_000389-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFCEA10_000390	AFCEA10_000390	AFCEA10_000390-T1	protein_coding	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5
AFCEA10_000391	AFCEA10_000391	AFCEA10_000391-T1	protein_coding	0	0	0	6	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1
AFCEA10_000392	AFCEA10_000392	AFCEA10_000392-T1	protein_coding	0	0	0	6	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0
AFCEA10_000393	AFCEA10_000393	AFCEA10_000393-T1	protein_coding	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
AFCEA10_000394	AFCEA10_000394	AFCEA10_000394-T1	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
AFCEA10_000397	AFCEA10_000397	AFCEA10_000397-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFCEA10_000398	AFCEA10_000398	AFCEA10_000398-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFCEA10_000399	AFCEA10_000399	AFCEA10_000399-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFCEA10_000400	AFCEA10_000400	AFCEA10_000400-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFCEA10_000401	AFCEA10_000401	AFCEA10_000401-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AFCEA10_000415	AFCEA10_000415	AFCEA10_000415-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFCEA10_000415	AFCEA10_000415	AFCEA10_000415-T2	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFCEA10_000416	AFCEA10_000416	AFCEA10_000416-T1	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AFCEA10_000417	AFCEA10_000417	AFCEA10_000417-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFCEA10_000442	AFCEA10_000442	AFCEA10_000442-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFCEA10_000443	AFCEA10_000443	AFCEA10_000443-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFCEA10_000444	AFCEA10_000444	AFCEA10_000444-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFCEA10_000445	AFCEA10_000445	AFCEA10_000445-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFCEA10_000446	AFCEA10_000446	AFCEA10_000446-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFCEA10_000480	AFCEA10_000480	AFCEA10_000480-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFCEA10_000481	AFCEA10_000481	AFCEA10_000481-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFCEA10_000482	AFCEA10_000482	AFCEA10_000482-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AFCEA10_000501	AFCEA10_000501	AFCEA10_000501-T1	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AFCEA10_000506	AFCEA10_000506	AFCEA10_000506-T1	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AFCEA10_000507	AFCEA10_000507	AFCEA10_000507-T1	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AFCEA10_000508	AFCEA10_000508	AFCEA10_000508-T1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
AFCEA10_000522	AFCEA10_000522	AFCEA10_000522-T1	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AFCEA10_000523	AFCEA10_000523	AFCEA10_000523-T1	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AFCEA10_000528	AFCEA10_000528	AFCEA10_000528-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFCEA10_000530	AFCEA10_000530	AFCEA10_000530-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFCEA10_000555	AFCEA10_000555	AFCEA10_000555-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFCEA10_000557	AFCEA10_000557	AFCEA10_000557-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFCEA10_000558	AFCEA10_000558	AFCEA10_000558-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFCEA10_000567	AFCEA10_000567	AFCEA10_000567-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFCEA10_000568	AFCEA10_000568	AFCEA10_000568-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFCEA10_000569	AFCEA10_000569	AFCEA10_000569-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFCEA10_000570	AFCEA10_000570	AFCEA10_000570-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFCEA10_000571	AFCEA10_000571	AFCEA10_000571-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFCEA10_000572	AFCEA10_000572	AFCEA10_000572-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFCEA10_000629	AFCEA10_000629	AFCEA10_000629-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFCEA10_000631	AFCEA10_000631	AFCEA10_000631-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AFCEA10_000632	AFCEA10_000632	AFCEA10_000632-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFCEA10_000633	AFCEA10_000633	AFCEA10_000633-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFCEA10_000640	AFCEA10_000640	AFCEA10_000640-T1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AFCEA10_000642	AFCEA10_000642	AFCEA10_000642-T1	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AFCEA10_000645	AFCEA10_000645	AFCEA10_000645-T1	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AFCEA10_000648	AFCEA10_000648	AFCEA10_000648-T1	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
AFCEA10_000648	AFCEA10_000648	AFCEA10_000648-T2	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
AFCEA10_000649	AFCEA10_000649	AFCEA10_000649-T1	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
AFCEA10_000659	AFCEA10_000659	AFCEA10_000659-T1	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AFCEA10_000660	AFCEA10_000660	AFCEA10_000660-T1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AFCEA10_000661	AFCEA10_000661	AFCEA10_000661-T1	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AFCEA10_000662	AFCEA10_000662	AFCEA10_000662-T1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AFCEA10_000663	AFCEA10_000663	AFCEA10_000663-T1	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AFCEA10_000664	AFCEA10_000664	AFCEA10_000664-T1	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AFCEA10_000665	AFCEA10_000665	AFCEA10_000665-T1	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AFCEA10_000679	AFCEA10_000679	AFCEA10_000679-T1	protein_coding	0	0	0	8	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
AFCEA10_000682	AFCEA10_000682	AFCEA10_000682-T1	protein_coding	0	0	0	8	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
AFCEA10_000683	AFCEA10_000683	AFCEA10_000683-T1	protein_coding	0	0	0	8	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
AFCEA10_000691	AFCEA10_000691	AFCEA10_000691-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFCEA10_000691	AFCEA10_000691	AFCEA10_000691-T2	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFCEA10_000691	AFCEA10_000691	AFCEA10_000691-T3	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFCEA10_000694	AFCEA10_000694	AFCEA10_000694-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AFCEA10_000695	AFCEA10_000695	AFCEA10_000695-T1	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
AFCEA10_000702	AFCEA10_000702	AFCEA10_000702-T1	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AFCEA10_000702	AFCEA10_000702	AFCEA10_000702-T2	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AFCEA10_000703	AFCEA10_000703	AFCEA10_000703-T1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
AFCEA10_000708	AFCEA10_000708	AFCEA10_000708-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFCEA10_000718	AFCEA10_000718	AFCEA10_000718-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFCEA10_000719	AFCEA10_000719	AFCEA10_000719-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFCEA10_000720	AFCEA10_000720	AFCEA10_000720-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFCEA10_000721	AFCEA10_000721	AFCEA10_000721-T1	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AFCEA10_000723	AFCEA10_000723	AFCEA10_000723-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFCEA10_000763	AFCEA10_000763	AFCEA10_000763-T1	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AFCEA10_000764	AFCEA10_000764	AFCEA10_000764-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFCEA10_000789	AFCEA10_000789	AFCEA10_000789-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFCEA10_000790	AFCEA10_000790	AFCEA10_000790-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFCEA10_000791	AFCEA10_000791	AFCEA10_000791-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFCEA10_000792	AFCEA10_000792	AFCEA10_000792-T1	protein_coding	0	0	0	4	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
AFCEA10_000793	AFCEA10_000793	AFCEA10_000793-T1	protein_coding	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3
AFCEA10_000795	AFCEA10_000795	AFCEA10_000795-T1	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
AFCEA10_000796	AFCEA10_000796	AFCEA10_000796-T1	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
AFCEA10_000821	AFCEA10_000821	AFCEA10_000821-T1	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
AFCEA10_000822	AFCEA10_000822	AFCEA10_000822-T1	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
AFCEA10_000823	AFCEA10_000823	AFCEA10_000823-T1	protein_coding	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
AFCEA10_000841	AFCEA10_000841	AFCEA10_000841-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFCEA10_000842	AFCEA10_000842	AFCEA10_000842-T1	protein_coding	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AFCEA10_000843	AFCEA10_000843	AFCEA10_000843-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFCEA10_000845	AFCEA10_000845	AFCEA10_000845-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFCEA10_000861	AFCEA10_000861	AFCEA10_000861-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFCEA10_000862	AFCEA10_000862	AFCEA10_000862-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFCEA10_000863	AFCEA10_000863	AFCEA10_000863-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFCEA10_000871	AFCEA10_000871	AFCEA10_000871-T1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AFCEA10_000872	AFCEA10_000872	AFCEA10_000872-T1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AFCEA10_000873	AFCEA10_000873	AFCEA10_000873-T1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AFCEA10_000874	AFCEA10_000874	AFCEA10_000874-T1	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AFCEA10_000875	AFCEA10_000875	AFCEA10_000875-T1	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AFCEA10_000899	AFCEA10_000899	AFCEA10_000899-T1	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
AFCEA10_000922	AFCEA10_000922	AFCEA10_000922-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFCEA10_000932	AFCEA10_000932	AFCEA10_000932-T1	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AFCEA10_000951	AFCEA10_000951	AFCEA10_000951-T1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
AFCEA10_000957	AFCEA10_000957	AFCEA10_000957-T1	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AFCEA10_000958	AFCEA10_000958	AFCEA10_000958-T1	protein_coding	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AFCEA10_000965	AFCEA10_000965	AFCEA10_000965-T1	protein_coding	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AFCEA10_000966	AFCEA10_000966	AFCEA10_000966-T1	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
AFCEA10_000968	AFCEA10_000968	AFCEA10_000968-T1	protein_coding	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
AFCEA10_000985	AFCEA10_000985	AFCEA10_000985-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFCEA10_000985	AFCEA10_000985	AFCEA10_000985-T2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFCEA10_000986	AFCEA10_000986	AFCEA10_000986-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFCEA10_000993	AFCEA10_000993	AFCEA10_000993-T1	protein_coding	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
